Obs,Inputfile,YEAR,AUTHOR,AUTHOR_t,GENDER,Gender,AUTHORS,Par_per_doc,Zin_per_doc,Word_per_doc,Alpino_status,Let_per_wrd_zn,Morf_per_wrd_zn,Let_per_wrd_nsam,Wrd_freq_zn_log,Conc_bvnw_ruim_p,Conc_nw_ruim_p,Conc_ww_p,Alg_nw_p,Alg_ww_p,Pv_Frog_per_zin,Bijw_bep_dz,Bijv_bep_dz,Bijzin_per_zin,D_level,Wrd_per_dz,Mv_inbed_per_zin,MTLD_lem,Namen_p,Abstr_ww_p
63,input/NVT_1978_48_Lasoen.txt,1978,Lasoen ,Lasoen,F,F,F.19,1,22,401,2,4.64573,1.42211,5.85366,4.28951,0.454545,0.758621,0.278689,0.0229885,0.147541,1.68182,1.58974,1.41026,NA,3.09091,10.2821,NA,8.94679,0.0337079,0.360656
64,input/ONT_1958_121_Lievaart.txt,1958,Lievaart ,Lievaart,F,F,F.11,1,106,970,0,4.43595,1.30165,6.075,4.66926,0.290323,0.484127,0.116505,0.103175,0.135922,1.4717,0.816456,0.392405,0.424528,1.81132,6.13924,0.0566038,62.8502,0.0148148,0.650485
65,input/DIE_1939_89_Louisa Duykers.txt,1939,Louisa Duykers ,Louisa Duykers,F,F,F.27,1,42,605,0,5.3,1.42679,7.18182,4.10555,0.254237,0.577465,0.0666667,0.0633803,0.0533333,1.28571,0.863014,1.47945,0.380952,1.45238,8.28767,0.047619,142.447,0.263158,0.786667
66,input/GID_1886_25_Loveling.txt,1886,Loveling ,Loveling,F,F,F.9,1,25,513,0,4.73727,1.40122,6.31765,4.18791,0.358974,0.784946,0.0113636,0.0645161,0.0568182,2.6,0.940299,0.791045,0.72,2.6,7.65672,0.16,87.0741,0.192982,0.795455
67,input/DIE_1925_82_M.E. Belpaire.txt,1925,M.E. Belpaire ,M.E. Belpaire,F,F,F.22,1,28,671,0,4.82716,1.3534,7.07874,4.01484,0.296296,0.45,0.0365854,0.05,0.121951,1.78571,1.34545,1.89091,1.03571,2.67857,12.2,0.107143,79.4242,0.147436,0.731707
68,input/GID_1883_7_Macalester Loup.txt,1883,Macalester Loup ,Macalester Loup,M,M,M.36,1,13,486,1,5.2547,1.46138,7.8,4.30888,0.15,0.22449,0.025974,0.265306,0.233766,3,1.47727,1.95455,NA,4.53846,11.0455,NA,24.0876,0.0625,0.792208
69,input/DIE_1922_22_Maria Jozefa.txt,1922,Maria Jozefa ,Maria Jozefa,F,F,F.16,1,51,669,0,4.49145,1.35303,6.05594,3.83042,0.428571,0.616541,0.104348,0.0225564,0.00869565,1.56863,0.741573,1.02247,0.372549,1.45098,7.51685,0.0196078,85.7882,0.149425,0.582609
70,input/GID_1899_97_Meijboom.txt,1899,Meijboom ,Meijboom,F,F,F.13,1,407,9599,3,5.30211,1.49201,8.2776,4.20551,0.175824,0.35609,0.015625,0.213545,0.16088,2.29238,1.09187,1.33052,NA,3.05405,10.1362,NA,57.0473,0.0940919,0.817708
71,input/TAA_1993_17_Meijer Drees.txt,1993,Meijer Drees ,Meijer Drees,F,F,F.26,1,30,668,0,5.24774,1.4557,7.09649,4.31983,0.211538,0.584071,0.0140845,0.110619,0.211268,1.33333,1.11111,2.86667,0.6,2.16667,14.8444,0.133333,84.9246,0.475207,0.788732
72,input/ONT_1946_40_Mertens.txt,1946,Mertens ,Mertens,F,F,F.37,1,46,667,1,4.52861,1.31476,5.81429,4.27326,0.309091,0.421875,0.0923077,0.0390625,0.0769231,2.21739,0.82,0.69,NA,3.1087,6.67,NA,35.293,0.0208333,0.692308
73,input/GID_1901_119_Metz-Koning.txt,1901,Metz-Koning ,Metz-Koning,F,F,F.29,1,44,823,0,4.8,1.34969,6.85897,3.82245,0.346667,0.725664,0.0984848,0.0176991,0.0833333,2,1.16129,1.35484,0.681818,2.68182,8.84946,0.113636,127.603,0.0470588,0.628788
74,input/TAA_1952_84_Michels.txt,1952,Michels ,Michels,M,M,M.39,1,14,477,2,5.26077,1.46032,8.34483,4.20569,0.129032,0.351852,0.016129,0.185185,0.241935,2.71429,1.34211,2.26316,NA,3.85714,12.5526,NA,10.7927,0.274809,0.677419
75,input/DIE_1929_46_Persyn.txt,1929,Persyn ,Persyn,M,M,M.21,1,18,552,0,4.73904,1.39243,6.3,3.7676,0.153846,0.627119,0.075,0.0508475,0.1375,3.27778,0.931818,1.79545,2.05556,4.33333,12.5455,0.611111,141.007,0.322581,0.7125
76,input/ONT_1959_27_Petit.txt,1959,Petit ,Petit,F,F,F.14,1,47,790,1,4.46581,1.30839,6.31061,4.59393,0.2,0.610294,0.119048,0.0588235,0.0952381,1.85106,0.9,1.03333,NA,2.48936,8.77778,NA,42.1659,0.0986842,0.626984
77,input/GID_1886_10_Pijzel.txt,1886,Pijzel ,Pijzel,M,M,M.12,1,18,451,1,5.48747,1.49658,8.2043,4.10966,0,0.3,0.0277778,0.31,0.194444,2.16667,1,1.8,NA,3.61111,11.275,NA,15.1557,0.104348,0.805556
78,input/GID_1894_55_Rijkevorsel.txt,1894,Rijkevorsel ,Rijkevorsel,F,F,F.28,1,27,537,0,4.75712,1.41746,7.24691,4.32848,0.275862,0.542169,0.0309278,0.108434,0.0824742,2.25926,1.61667,0.9,1.48148,3.88889,8.95,0.37037,91.7636,0.10101,0.762887
79,input/NIE_1957_39_Romein-Verschoor.txt,1957,Romein-Verschoor ,Romein-Verschoor,F,F,F.33,1,28,781,1,5.05087,1.4257,7.25758,4.48943,0.238806,0.355422,0.0288462,0.23494,0.144231,1.92857,1.11667,2.55,NA,3.42857,13.0167,NA,22.3409,0.191011,0.855769
80,input/GID_1974_8_Romein-Verschoorn.txt,1974,Romein-Verschoor,Romein-Verschoor,F,F,F.33,1,16,698,0,5.09538,1.42462,7.80702,4.38123,0.230769,0.446043,0.0306122,0.201439,0.183673,3.3125,1.5098,2.62745,2,4.875,13.6863,0.25,104.778,0.292683,0.755102
81,input/ONT_1962_121_Rutke.txt,1962,Rutke ,Rutke,F,F,F.10,1,70,677,0,4.49183,1.28083,6.15854,4.7086,0.222222,0.53125,0.0413793,0.125,0.0896552,1.42857,0.844037,0.458716,0.557143,2.08571,6.21101,0.0571429,80.0138,0.0416667,0.662069
82,input/GID_1918_73_Salomons.txt,1918,Salomons ,Salomons,F,F,F.31,1,52,909,0,4.3781,1.26637,5.76048,4.05679,0.118644,0.405797,0.0632184,0.0507246,0.045977,2.46154,0.919355,0.677419,0.788462,3.36538,7.33065,0.0384615,103.534,0.120419,0.66092
83,input/GRO_1905_54_Salomons.txt,1905,Salomons ,Salomons,F,F,F.39,1,32,572,0,4.50177,1.32447,5.86066,3.80485,0.12766,0.505618,0.0860215,0.011236,0.139785,2.09375,0.925373,1.07463,0.84375,3.03125,8.53731,0.03125,131.97,0.0615385,0.688172
84,input/DIE_1908_71_Sanders van Loo.txt,1908,Sanders van Loo ,Sanders van Loo,F,F,F.25,1,18,529,1,4.54176,1.31049,6.87654,4.09983,0.387097,0.678261,0.0704225,0.0347826,0.0422535,2.77778,1.26531,1.55102,NA,3.38889,10.7959,NA,12.1023,0.424658,0.704225
85,input/GID_1898_73_Scharten-Atink.txt,1898,Scharten-Atink ,Scharten-Atink,F,F,F.41,1,14,598,0,4.97651,1.38423,6.75817,3.34244,0.293103,0.682243,0.36,0.0373832,0,1.21429,1.90909,6.45455,0.642857,3.07143,27.1818,0,78.1162,0.0123457,0.3
86,input/GID_1998_71_Schutte.txt,1998,Schutte ,Schutte,F,F,F.38,1,39,622,1,4.95304,1.39652,6.90291,4.70896,0.186047,0.414966,0.0322581,0.115646,0.11828,1.5641,1.02985,1.46269,NA,2.76923,9.28358,NA,15.995,0.29375,0.784946
87,input/JAA_1923_4_Surrier.txt,1923,Surrier ,Surrier,F,F,F.2,1,28,635,0,5.15464,1.43299,7.91346,4.36969,0.235294,0.452055,0,0.116438,0.170213,1.64286,1.20833,1.79167,0.928571,3.28571,13.2292,0.178571,76.885,0.325153,0.851064
88,input/GID_1938_9_Surrier.txt,1938,Surrier ,Surrier,F,F,F.2,1,27,559,0,4.93233,1.38722,7.19444,4.13887,0.162162,0.414634,0.0210526,0.113821,0.0947368,2.18519,0.896552,1.27586,1.37037,2.92593,9.63793,0.185185,97.726,0.1875,0.694737
89,input/GID_1946_20_Surrier.txt,1946,Surrier ,Surrier,F,F,F.2,1,23,530,0,5.59172,1.48323,8.4,3.90421,0.25641,0.391304,0.0428571,0.182609,0.2,1.95652,1.23913,1.82609,0.913043,3.04348,11.5217,0.130435,134.125,0.157534,0.7
90,input/GID_1889_16_Swarth.txt,1889,Swarth ,Swarth,F,F,F.6,1,54,654,0,4.18069,1.26324,5.88406,3.82581,0.5,0.563636,0.236559,0.00909091,0.0860215,1.2963,0.688889,0.8,0.277778,1.94444,7.26667,0,78.7097,0.0794702,0.526882
91,input/GID_1891_37_Swarth.txt,1891,Swarth ,Swarth,F,F,F.6,1,44,551,0,4.14739,1.23694,5.4661,4.18043,0.648649,0.541284,0.168421,0.00917431,0.0736842,1.65909,0.84,0.6,0.386364,2.59091,7.34667,0,94.3432,0.11194,0.6
92,input/GID_1900_36_Swarth.txt,1900,Swarth ,Swarth,F,F,F.6,1,62,741,0,4.82254,1.37324,6.83051,3.51673,0.569231,0.560284,0.196262,0.0141844,0.0560748,1.12903,0.804124,1.12371,0.16129,1.96774,7.63918,0,140.073,0.14554,0.514019
93,input/GRO_1911_34_Swarth.txt,1911,Swarth ,Swarth,F,F,F.6,1,68,865,0,4.28486,1.26803,6.23188,3.85946,0.557143,0.666667,0.13245,0.00877193,0.0331126,1.55882,0.801653,0.719008,0.352941,1.69118,7.14876,0.0294118,51.4056,0.188571,0.536424
94,input/GID_1920_2_Swarth.txt,1920,Swarth ,Swarth,F,F,F.6,1,54,753,0,4.53389,1.29461,6.06098,3.72571,0.37931,0.51773,0.133333,0.0567376,0.025,1.62963,0.948454,0.938144,0.351852,2.14815,7.76289,0,126.023,0.152284,0.583333
95,input/TAA_1992_16_Twilhaar.txt,1992,Twilhaar ,Twilhaar,M,M,M.35,1,20,497,1,5.23029,1.3444,8.04348,3.81141,0.175,0.113402,0,0.247423,0.2,2,1.14634,2.26829,NA,3.4,12.122,NA,26.5152,0.113636,0.727273
96,input/GRO_1920_4_van Bruggen.txt,1920,van Bruggen ,van Bruggen,F,F,F.0,1,46,722,1,4.5021,1.31557,6.10484,4.43929,0.372881,0.759615,0.15748,0.00961538,0.0472441,1.76087,1.13333,0.9,NA,2.45652,8.02222,NA,45.3032,0.0661765,0.582677
97,input/GRO_1919_34_van Bruggen.txt,1919,van Bruggen ,van Bruggen,F,F,F.0,1,10,641,1,5.18506,1.44318,8.27273,3.90839,0.22807,0.283019,0,0.254717,0.219178,4.5,1.5641,2.94872,NA,4.6,16.4359,NA,15.275,0.182482,0.780822
